Roster Month/Year,Start,End,Block Total,Flight,Origin,City_Origin,Country_Origin,Latitude_Origin,Longitude_Origin,Destination,City_Destination,Country_Destination,Latitude_Destination,Longitude_Destination,Aircraft Type,Rank
Aug-2013,2013-08-30 19:58:00,2013-08-31 07:10:00,0 days 11:12:00.000000000,VS601,LHR,London,United Kingdom,51.4706,-0.461941,JNB,Johannesburg,South Africa,-26.1392,28.246,346,CC
Sep-2013,2013-09-01 18:25:00,2013-09-02 05:37:00,0 days 11:12:00.000000000,VS602,JNB,Johannesburg,South Africa,-26.1392,28.246,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Sep-2013,2013-09-06 11:57:00,2013-09-06 21:10:00,0 days 09:13:00.000000000,VS15,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,744,CC
Sep-2013,2013-09-07 23:34:00,2013-09-08 07:37:00,0 days 08:03:00.000000000,VS16,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Sep-2013,2013-09-11 14:51:00,2013-09-12 02:44:00,0 days 11:53:00.000000000,VS250,LHR,London,United Kingdom,51.4706,-0.461941,PVG,Shanghai,China,31.143400192260746,121.80500030517578,343,CC
Sep-2013,2013-09-14 03:36:00,2013-09-14 15:59:00,0 days 12:23:00.000000000,VS251,PVG,Shanghai,China,31.143400192260746,121.80500030517578,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Sep-2013,2013-09-18 15:39:00,2013-09-18 23:43:00,0 days 08:04:00.000000000,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744,CC
Sep-2013,2013-09-20 01:30:00,2013-09-20 08:11:00,0 days 06:41:00.000000000,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Sep-2013,2013-09-23 21:28:00,2013-09-24 09:22:00,0 days 11:54:00.000000000,VS200,LHR,London,United Kingdom,51.4706,-0.461941,HKG,Hong Kong,Hong Kong,22.308901000000002,113.915001,346,CC
Sep-2013,2013-09-24 11:27:00,2013-09-25 20:50:00,0 days 09:23:00.000000000,VS200,HKG,Hong Kong,Hong Kong,22.308901000000002,113.915001,SYD,Sydney,Australia,-33.94609832763672,151.177001953125,346,CC
Sep-2013,2013-09-27 04:13:00,2013-09-27 13:39:00,0 days 09:26:00.000000000,VS201,SYD,Sydney,Australia,-33.94609832763672,151.177001953125,HKG,Hong Kong,Hong Kong,22.308901000000002,113.915001,346,CC
Sep-2013,2013-09-29 15:25:00,2013-09-30 04:09:00,0 days 12:44:00.000000000,VS201,HKG,Hong Kong,Hong Kong,22.308901000000002,113.915001,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Nov-2013,2013-11-10 16:06:00,2013-11-11 00:01:00,0 days 07:55:00.000000000,VS1,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,744,CC
Nov-2013,2013-11-12 02:10:00,2013-11-12 08:32:00,0 days 06:22:00.000000000,VS2,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,744,CC
Nov-2013,2013-11-15 11:54:00,2013-11-16 00:05:00,0 days 12:11:00.000000000,VS900,LHR,London,United Kingdom,51.4706,-0.461941,NRT,Tokyo,Japan,35.764701843299996,140.386001587,346,CC
Nov-2013,2013-11-18 02:54:00,2013-11-18 15:28:00,0 days 12:34:00.000000000,VS901,NRT,Tokyo,Japan,35.764701843299996,140.386001587,LHR,London,United Kingdom,51.4706,-0.461941,343,CC
Nov-2013,2013-11-29 11:22:00,2013-11-29 19:35:00,0 days 08:13:00.000000000,VS21,LHR,London,United Kingdom,51.4706,-0.461941,IAD,Washington,United States,38.94449997,-77.45580292,333,CC
Dec-2013,2013-11-30 23:26:00,2013-12-01 06:39:00,0 days 07:13:00.000000000,VS22,IAD,Washington,United States,38.94449997,-77.45580292,LHR,London,United Kingdom,51.4706,-0.461941,333,CC
Dec-2013,2013-12-04 13:27:00,2013-12-05 00:46:00,0 days 11:19:00.000000000,VS250,LHR,London,United Kingdom,51.4706,-0.461941,XMN,Xiamen,China,24.54400062561035,118.12799835205078,343,CC
Dec-2013,2013-12-04 04:04:00,2013-12-05 05:55:00,0 days 01:51:00.000000000,VS250,XMN,Xiamen,China,24.54400062561035,118.12799835205078,PVG,Shanghai,China,31.143400192260746,121.80500030517578,343,CC
Dec-2013,2013-12-07 03:50:00,2013-12-07 16:45:00,0 days 12:55:00.000000000,VS251,PVG,Shanghai,China,31.143400192260746,121.80500030517578,LHR,London,United Kingdom,51.4706,-0.461941,343,CC
Dec-2013,2013-12-17 12:30:00,2013-12-17 23:52:00,0 days 11:22:00.000000000,VS93,LGW,London,United Kingdom,51.148102,-0.190278,CUN,Cancun,Mexico,21.036500930800003,-86.8770980835,744,CC
Dec-2013,2013-12-22 02:02:00,2013-12-22 11:01:00,0 days 08:59:00.000000000,VS94,CUN,Cancun,Mexico,21.036500930800003,-86.8770980835,LGW,London,United Kingdom,51.148102,-0.190278,744,CC
Dec-2013,2013-12-25 20:03:00,2013-12-26 04:04:00,0 days 08:01:00.000000000,VS17,LHR,London,United Kingdom,51.4706,-0.461941,EWR,Newark,United States,40.69250106811523,-74.168701171875,333,CC
Dec-2013,2013-12-27 12:45:00,2013-12-27 19:17:00,0 days 06:32:00.000000000,VS18,EWR,Newark,United States,40.69250106811523,-74.168701171875,LHR,London,United Kingdom,51.4706,-0.461941,343,CC
Dec-2013,2013-12-28 21:31:00,2013-12-29 04:34:00,0 days 07:03:00.000000000,VS400,LHR,London,United Kingdom,51.4706,-0.461941,DXB,Dubai,United Arab Emirates,25.252799987800003,55.3643989563,333,CC
Dec-2013,2013-12-30 06:09:00,2013-12-30 13:50:00,0 days 07:41:00.000000000,VS401,DXB,Dubai,United Arab Emirates,25.252799987800003,55.3643989563,LHR,London,United Kingdom,51.4706,-0.461941,333,CC
Jan-2014,2014-01-02 22:16:00,2014-01-03 04:50:00,0 days 06:34:00.000000000,VS651,LHR,London,United Kingdom,51.4706,-0.461941,LOS,Lagos,Nigeria,6.5773701667785645,3.321160078048706,346,CC
Jan-2014,2014-01-04 11:17:00,2014-01-04 17:31:00,0 days 06:14:00.000000000,VS652,LOS,Lagos,Nigeria,6.5773701667785645,3.321160078048706,LHR,London,United Kingdom,51.4706,-0.461941,346,CC
Feb-2014,2014-02-18 14:51:00,2014-02-18 22:28:00,0 days 07:37:00.000000000,VS11,LHR,London,United Kingdom,51.4706,-0.461941,BOS,Boston,United States,42.36429977,-71.00520325,333,CC
Feb-2014,2014-02-20 00:39:00,2014-02-20 06:42:00,0 days 06:03:00.000000000,VS12,BOS,Boston,United States,42.36429977,-71.00520325,LHR,London,United Kingdom,51.4706,-0.461941,333,CC
Feb-2014,2014-02-23 11:47:00,2014-02-23 21:34:00,0 days 09:47:00.000000000,VS27,LGW,London,United Kingdom,51.148102,-0.190278,MCO,Orlando,United States,28.429399490356445,-81.30899810791016,744,CC
